time x y z T0
354630.0000000000 -1132916.7987675895 6092530.4667634862 1504634.3632037174 4.1241955176
354660.0000000000 -1132916.0002534648 6092529.2793230405 1504633.9958724012 4.6218551733
354690.0000000000 -1132916.4023160373 6092528.4511138014 1504633.6650257458 3.0653697565
354720.0000000000 -1132915.9447825032 6092528.4832863417 1504633.2221531065 12.2506715609
354750.0000000000 -1132915.5653727234 6092528.4998020791 1504633.8253537703 16.4185215343
354780.0000000000 -1132916.3798537306 6092531.1143929418 1504633.3762116691 23.8227381577
354810.0000000000 -1132917.1172313797 6092530.4428404011 1504634.0637981752 22.1185296888
354840.0000000000 -1132916.0798551943 6092528.5156757627 1504634.1798843122 1.3590230544
354870.0000000000 -1132916.5476829947 6092528.8850723086 1504633.8869324147 10.5691617020
354900.0000000000 -1132917.2905156447 6092530.5549219269 1504634.1949828721 60.6451766301
354930.0000000000 -1132915.5828116981 6092528.2818547301 1504634.2616372919 48.8231528084
354960.0000000000 -1132915.9823836100 6092528.8613172490 1504634.2275688080 22.4248189608
354990.0000000000 -1132915.1370099036 6092528.3289481122 1504633.8351183536 12.3123284185
355020.0000000000 -1132915.7513375850 6092526.8894935055 1504634.3803432691 5.7497721605
355050.0000000000 -1132915.5133026317 6092528.8893362349 1504634.0313814546 7.3267013522
355080.0000000000 -1132915.5756781392 6092529.3744083392 1504634.2341619793 9.1817279112
355110.0000000000 -1132915.2103097306 6092527.3557650521 1504633.2271267080 4.2418325633
355140.0000000000 -1132915.4096635592 6092528.5695284568 1504633.2560745105 1.5085647029
355170.0000000000 -1132916.0627433937 6092530.1192275817 1504634.4599020507 10.3700076544
355200.0000000000 -1132915.3163389461 6092528.3021675851 1504633.2190685631 6.6794096703
355230.0000000000 -1132915.5322353372 6092529.0989229325 1504633.7821973877 9.0309265236
355260.0000000000 -1132915.6453116015 6092530.5435754880 1504633.8556185467 11.6529708850
355290.0000000000 -1132915.9408904964 6092530.7411411544 1504633.8205078884 9.4469554320
